repository,java_loc
GammaBurst101/GammaTimer,187
sdlpal/sdlpal,931
aviaryan/PopularMovies,1135
yuriykulikov/AlarmClock,1155
tswift242/tetris,1571
SupunArunoda/CPACEP,1589
AKSW/rocker,1734
Wadeck/gitlab-oauth-plugin,2040
IronTeaPot/react-native-charts-wrapper,2904
GerritCodeReview/plugins_events-log,3014
sebastiaanschool/sebastiaanschool-Android,3044
piotr-rusin/yule,3837
dimtion/Shaarlier,4400
aschuster3/Team2-Spring-2015-Capstone,5163
Opetushallitus/java-utils,5167
fertrist/mishpaha-project-backend,5980
avs333/alsaplayer,6158
blinskey/greek-reference,7147
vr100/github-api,7387
servalproject/serval-dna,9928
BenzoRoms/packages_providers_TelephonyProvider,10750
lumannnn/AudioRacer,11645
eskalon/ProjektGG,11746
siemens/JMiniZinc,13385
MaTriXy/Paginize,15799
diffplug/goomph,20059
fcrepo/trippi,22054
jeromewagener/Sammelbox,22759
PreibischLab/BigStitcher,22830
NightWhistler/PageTurner,23666
christ66/git-plugin,24062
TheHolyWaffle/TeamSpeak-3-Java-API,24380
akka/akka-http,26111
facebook/stetho,26423
computationalcore/smartcoins-wallet,27284
SimpleServer/SimpleServer,28430
garbagemule/MobArena,30391
andrewphorn/ClassiCube-Client,30779
abarisain/dmix,33447
vardhan-cr/mojo,35719
DigitalPebble/storm-crawler,36385
jiangxincode/Emma,36479
libbun/libbun,38338
doe300/jactiverecord,38655
codinguser/gnucash-android,43724
georchestra/georchestra,43727
huanghongxun/HMCL,51114
thinkaurelius/titan,59658
maxhbr/sw360,64947
stephengold/Maud,74058
nickvandewiele/RMG-Java,78168
nysenate/Employee-Self-Service,79625
open-keychain/open-keychain,92442
sosy-lab/java-smt,94705
JetBrains/xodus,97149
fcrepo/fcrepo,99987
anathema/anathema,102397
ejaku/grgen,131104
jaamsim/jaamsim,131946
polyglot-compiler/polyglot,166029
imagej/imagej,195080
vividus-framework/vividus,196451
DanVanAtta/triplea,243333
INRIA/spoon,251885
cpesch/RouteConverter,264281
IQSS/dataverse,308581
rstudio/rstudio,373262
structr/structr,380678
crossminer/scava,385517
linkedin/datahub,417837
apache/bookkeeper,423587
palantir/atlasdb,431267
starlightknight/jpcsp,466896
openmicroscopy/bioformats,492743
adamretter/exist,511468
ilscipio/scipio-erp,546749
melissalinkert/bioformats,562572
dCache/dcache,569719
scylladb/scylla-tools-java,619238
UniTime/unitime,675294
mtaylor/activemq-artemis,683677
Sable/soot,686919
apache/fineract,702736
Unidata/IDV,784181
crate/crate,808033
spring-projects/spring-boot,809155
xwiki/xwiki-platform,933182
clebertsuconic/activemq-artemis,963236
oVirt/ovirt-engine,1006456
gwtproject/gwt,1289558
spring-projects/spring-framework,1463252
prestodb/presto,1482860
NumberFour/n4js,1639404
JetBrains/MPS,2744334
CyanogenMod/android_frameworks_base,2940432
JetBrains/kotlin,3192453
JetBrains/intellij-community,6311364
brianchandotcom/liferay-portal,15364174
